feature,importance
FS2__mean,0.025040889327057336
FS2__rms,0.02401943968444214
SE__max,0.02231834606999485
TS1__min,0.022296476628780135
SE__range,0.02108851703647986
TS4__mean,0.02088252395695306
TS1__mean,0.02038387497864363
TS3__mean,0.020376371633092468
TS3__rms,0.020280998898969862
TS2__rms,0.020265779427192782
FS2__max,0.020034842234075603
TS4__max,0.01983887501394589
TS1__rms,0.01978444181156324
TS1__max,0.019779040605228556
TS4__rms,0.019598145524936397
TS2__mean,0.01888769421736747
PS5__max,0.01884540143251641
TS3__min,0.01831832456051933
TS2__max,0.01795711438694982
PS6__mean,0.017880712421453296
TS4__min,0.01787988826396971
PS6__max,0.017630856134937502
TS3__max,0.017511583135944957
PS5__rms,0.017429623815728837
PS5__mean,0.017306188615524295
TS2__min,0.017300642096915012
FS1__max,0.017293744013478746
PS6__rms,0.017124486524903598
PS5__min,0.01598466957047588
FS2__min,0.01594006087794284
FS1__range,0.015353284738585608
PS6__min,0.014738384014637639
PS3__std,0.014167035776732435
EPS1__rms,0.013708412689924907
EPS1__mean,0.013238501859006208
EPS1__min,0.011388286250730824
EPS1__max,0.01094114703038009
CE__rms,0.010268970078121093
FS1__rms,0.010247040093724114
PS3__mean,0.010093605393018481
FS1__mean,0.009766866487388583
FS1__std,0.00951197797156115
CE__mean,0.009205307724064372
SE__rms,0.009150104741641149
PS3__rms,0.008995965526106028
PS1__rms,0.00896904797064637
PS1__mean,0.008829867974240041
VS1__mean,0.008642484569704095
CE__min,0.008497121047015626
PS1__min,0.008397361621619723
SE__mean,0.008349397995405503
VS1__min,0.007944742160270041
CE__max,0.007889420776416927
PS2__rms,0.007728012754884186
PS1__max,0.007505902424218002
SE__std,0.0074397411504057214
PS4__mean,0.007333108145879341
VS1__rms,0.00683583093686338
PS1__range,0.006658679060941564
PS1__std,0.006475515063058788
PS4__min,0.006456660742506321
CP__rms,0.006309989229939789
PS4__max,0.006302132627255467
PS2__mean,0.006280969815469168
PS2__std,0.006113566045416061
PS4__rms,0.005896257440465242
PS4__range,0.0058649648335247
FS2__std,0.005654437171895524
CP__max,0.005524392016858404
CP__min,0.005476689514713697
CP__mean,0.0052556690667531734
EPS1__std,0.005006132827980754
PS3__range,0.0045227839504351245
TS1__std,0.00408610660303526
TS1__range,0.004046053181697775
PS3__max,0.003829467741617854
TS2__std,0.003272092456823213
PS4__std,0.0032229330843406147
FS2__range,0.0030372371287511082
VS1__max,0.002920156627803144
PS2__max,0.0029109460236309836
PS6__std,0.0028008397718963245
PS2__range,0.00277663687684053
PS5__std,0.0027077557766197907
EPS1__range,0.002556745826284786
VS1__std,0.00242838327318167
VS1__range,0.002393843070787728
TS2__range,0.0023535514236315623
PS6__range,0.0019645024111732373
PS5__range,0.0014139767855790922
TS4__range,0.001351697812369384
TS4__std,0.0012576808239744015
TS3__std,0.0012362377372693498
TS3__range,0.0011759544470819425
CP__std,0.0011265398947385606
CE__std,0.0011135300226800655
CE__range,0.0010075013037823162
CP__range,0.0007943076840205881
FS1__min,0.0
SE__min,0.0
PS3__min,0.0
PS2__min,0.0
