feature,importance
SE__rms,0.08014014675257687
FS1__rms,0.07779177147251416
FS1__mean,0.07596598179753951
SE__mean,0.06830723241486762
SE__std,0.05209384682202363
SE__range,0.046661460494724284
SE__max,0.04094220944775418
EPS1__max,0.029782432357385865
PS1__max,0.028121500882213123
FS1__std,0.02618801397353546
PS3__rms,0.02568588408188639
PS3__mean,0.022781366878961852
EPS1__rms,0.022478749673552515
EPS1__min,0.020896048421093084
EPS1__mean,0.018962580481408923
PS1__rms,0.014112788967620126
PS3__std,0.011781452419973165
PS1__mean,0.01117551644351212
PS1__min,0.010195893422895962
TS2__max,0.009233484181951907
PS2__std,0.008686887702619972
PS4__min,0.008007784431032257
TS2__rms,0.00800278262924273
TS1__mean,0.0075039746653579485
TS2__min,0.007402277457080889
TS2__mean,0.007078492379141457
PS4__mean,0.007045435322080821
TS4__min,0.006992418002226877
TS4__rms,0.006910559846369983
TS1__rms,0.006650934642506607
PS1__std,0.00662381244033953
PS2__rms,0.006513987040128461
TS1__min,0.006367957323087056
TS3__rms,0.006365197795044598
PS2__mean,0.006305331763579481
PS6__mean,0.006160261569140127
PS5__rms,0.0061296425686069
VS1__min,0.00606840061732599
PS6__rms,0.006005804298979374
TS3__mean,0.005896959731984118
TS3__min,0.0058088377413443555
TS1__max,0.005628807231315218
PS5__mean,0.005600287851203217
TS4__max,0.005528334062337644
PS4__rms,0.005502347369878592
PS5__max,0.00540697358282367
EPS1__std,0.00536039153617287
VS1__range,0.005332508161059389
TS4__mean,0.00522280743608997
TS3__max,0.005192990511874163
PS6__max,0.004900968861662453
VS1__max,0.004882130333961174
PS2__range,0.004749113347477318
PS5__min,0.00465602289068677
FS2__mean,0.004598058019256484
CE__rms,0.004563378100469726
VS1__std,0.004167510818291868
PS6__min,0.004149521916398599
CE__mean,0.004119927246460536
CE__max,0.00396693455461592
FS2__rms,0.0039043820928801242
FS2__min,0.0037696172882073727
PS2__max,0.003571212323243969
FS2__max,0.0035573212164305176
FS1__max,0.0034305328353666322
FS1__range,0.003414449446697939
CE__min,0.0033902834290273328
VS1__rms,0.003085615379322747
PS4__max,0.0028697600672067157
VS1__mean,0.002854608530313679
CP__max,0.0028241742514744147
CP__rms,0.002599324402242685
PS1__range,0.0024860877799740867
CP__mean,0.0024142298911408507
CP__min,0.002205037464545339
TS1__std,0.0021943338655106893
TS2__std,0.0020001798851290954
TS2__range,0.0017338417848989933
TS1__range,0.0016700151344916148
PS4__range,0.0014744044306347274
EPS1__range,0.0014192117092145283
PS5__std,0.0014101713464735625
PS3__max,0.0013891318622525164
PS3__range,0.0012900027771926992
PS6__std,0.001164480598862024
TS4__std,0.0010636126644481766
TS4__range,0.0009916390106830106
FS2__std,0.0009768117958421196
PS4__std,0.0006414000943225559
FS2__range,0.0006366041179659418
PS6__range,0.0006000446399884771
TS3__range,0.0005806127297863695
PS5__range,0.000579769492265797
CP__std,0.000526548625690171
CE__std,0.0005056650043617725
CE__range,0.0005003381388470906
CP__range,0.0004862884673098393
TS3__std,0.0004331402385080527
FS1__min,0.0
SE__min,0.0
PS3__min,0.0
PS2__min,0.0
