feature,importance
PS2__std,0.08280885730821055
PS2__mean,0.04248334801874069
PS1__std,0.03887505583523559
SE__mean,0.03517244615181447
FS1__max,0.03125694365795309
SE__rms,0.03085920421267941
SE__std,0.030551312987462977
FS1__range,0.02834133832323191
FS1__mean,0.02416717784899929
PS2__rms,0.021785897592112833
PS1__mean,0.018856201678948616
PS1__rms,0.018011626045822442
EPS1__std,0.017831178483719214
FS1__std,0.017809448283504024
FS1__rms,0.017121906436442246
PS5__rms,0.011895860166351292
TS1__rms,0.011841765837176606
PS6__rms,0.011353434073952014
TS1__mean,0.0112973502225435
PS5__mean,0.011208549079308268
TS3__rms,0.011040160497282014
TS2__mean,0.010929318602645004
TS3__mean,0.01088684682267527
TS1__min,0.010764720450531846
TS2__max,0.010552887038050147
PS6__mean,0.010475318161084749
TS2__min,0.010385068293702438
TS3__min,0.010163137955748885
TS2__rms,0.010146304551530221
TS4__mean,0.0099815565425401
TS1__max,0.009933885516526783
TS4__max,0.009791063039270421
TS4__rms,0.009610097310900644
PS6__min,0.009496321386845665
TS3__max,0.009368962591342714
TS4__min,0.009172659903063417
PS5__min,0.009099827521021887
PS6__max,0.009058164263508424
EPS1__rms,0.008990997653791823
EPS1__mean,0.008928044966319777
FS2__mean,0.008829118475204482
FS2__rms,0.008825941060632324
PS5__max,0.008740724690024453
PS3__mean,0.00837625628974324
EPS1__min,0.008205656830428348
PS1__max,0.00815799663028738
PS3__std,0.00791666433896037
SE__max,0.007641012780543913
EPS1__max,0.007260695849197984
SE__range,0.0072186655885359335
FS2__max,0.007182786779360797
PS3__rms,0.007003346475194182
FS2__min,0.006908571054207588
PS1__min,0.006831755964192905
CE__rms,0.006431025821279804
PS4__mean,0.006007081305061328
VS1__rms,0.005704307865036694
CE__max,0.005656468116962106
PS4__min,0.005576144348396891
VS1__mean,0.005556518124108415
CP__mean,0.005357926400510926
CE__mean,0.005354035587458189
CE__min,0.005279726108914394
PS4__rms,0.005278230681252989
PS2__range,0.005214592879873004
PS2__max,0.005177298476945255
CP__min,0.005017690201366799
TS2__std,0.004992903625895991
PS1__range,0.00494830399928164
CP__rms,0.004717332701894066
VS1__min,0.004662420859557642
CP__max,0.004556245041344409
PS4__max,0.004182791962404994
TS1__std,0.00413287724499385
PS4__range,0.003939380841377733
TS3__std,0.0037668649010018287
EPS1__range,0.003762240994663315
TS2__range,0.0037443110707195094
TS1__range,0.0036102063982743344
PS3__max,0.0036083193744755023
VS1__std,0.0034634319763411593
PS6__std,0.0032636794087977897
TS4__range,0.003216051668249709
VS1__range,0.003198843574586409
TS4__std,0.0031799182509968807
TS3__range,0.0031762428050849233
VS1__max,0.0030866433915226503
PS3__range,0.0030772952218677822
PS5__std,0.0030173721082515977
FS2__std,0.00294430967350398
CP__std,0.002823333189410185
CE__std,0.0028187564999252587
CE__range,0.0027104302012299483
FS2__range,0.002701950186472067
CP__range,0.002594673861917939
PS6__range,0.002469710127160321
PS4__std,0.0024512518778594377
PS5__range,0.0021674229246653434
FS1__min,0.0
SE__min,0.0
PS3__min,0.0
PS2__min,0.0
