feature,importance
CE__min,0.062128921790706934
CE__mean,0.06187801505851094
CE__rms,0.05556435324434017
CE__max,0.04922443306411933
TS4__min,0.034011380243069704
TS4__mean,0.031146172739987682
TS4__rms,0.028905881169113908
TS4__max,0.0283792576279014
PS5__mean,0.02726429854610634
PS6__min,0.02704266485016331
PS5__rms,0.02517196555360549
TS1__mean,0.02405518322704278
CP__min,0.02320877823628312
PS5__min,0.023037489755131382
PS5__max,0.02289735313734602
PS6__max,0.02275004566777007
TS1__max,0.022348399802319136
PS6__rms,0.021914119353732067
TS2__max,0.020999924351793244
TS1__min,0.020009911682692914
TS2__rms,0.019067596333410885
TS2__mean,0.018741675322773363
TS3__mean,0.018255817145707696
CP__rms,0.017803539227021607
PS6__mean,0.017120230548836275
TS3__min,0.016774039981112862
TS2__min,0.016048145594790512
TS3__rms,0.015640581367025168
TS1__rms,0.014573619032742251
CP__mean,0.014041615186268288
FS2__max,0.013664721196871945
TS3__max,0.01329688450420856
CP__max,0.013003233485183669
FS2__min,0.012147748807832549
EPS1__min,0.01164205777949245
FS2__mean,0.010890880890123345
PS1__min,0.007503497924019882
FS2__rms,0.006573592713300186
TS2__std,0.006438680796241069
PS1__max,0.006371206841809828
VS1__mean,0.00595534658240516
PS1__range,0.005927070293215329
EPS1__max,0.005876524095474567
EPS1__mean,0.005035459811860409
EPS1__std,0.004983505263711725
TS2__range,0.004808497714898092
PS2__rms,0.0043174836334550675
PS4__rms,0.003817373371880193
PS3__mean,0.003471816031342688
EPS1__rms,0.003354064097828196
TS1__range,0.0032696014385833363
TS1__std,0.0032131088251831906
PS1__std,0.0030829183993595277
EPS1__range,0.003005967817171564
PS3__rms,0.0027583535123683967
PS4__mean,0.002402234652480911
PS1__mean,0.0021290273697849135
PS1__rms,0.0021036507391295513
VS1__rms,0.0021025811511817135
PS3__max,0.001959034602886404
PS3__range,0.001909357863467413
VS1__min,0.0017193641681785801
FS2__std,0.0016301528173614153
PS2__range,0.0015616349852362514
PS2__max,0.0014380771449778985
SE__range,0.00143572369833951
VS1__max,0.001312485969681362
FS1__range,0.001189326432941051
PS4__max,0.0009278059029001961
TS3__std,0.0009155826104381924
PS2__mean,0.0008789382670690749
FS2__range,0.000872206449985744
SE__max,0.000814668105069481
SE__std,0.0007851971634684941
SE__rms,0.0007705363201967931
SE__mean,0.0007371764506631715
VS1__std,0.0006822369640727221
FS1__max,0.0005994705197593839
TS4__range,0.0005386244303843454
FS1__mean,0.000511981441766399
PS2__std,0.00043851779802574637
TS3__range,0.0004309871752938632
FS1__std,0.00035251642333591443
VS1__range,0.0003401663139611327
PS3__std,0.00033790799087399264
FS1__rms,0.00032524195677368956
PS5__std,0.0002645050922618712
PS5__range,0.0002541955052043982
PS6__std,0.00023643387783088804
PS6__range,0.00014141690890937452
TS4__std,0.00013723581994395286
PS4__std,9.628246252114683e-05
PS4__range,9.562878434440362e-05
CE__range,7.173926772637895e-05
CP__range,4.6670413816133885e-05
CP__std,4.648487996160028e-05
CE__std,3.896621024907768e-05
PS4__min,3.0222282996795837e-06
FS1__min,0.0
SE__min,0.0
PS3__min,0.0
PS2__min,0.0
