feature,importance
FS1__mean,0.042932741891384435
SE__rms,0.04237261233770145
FS1__rms,0.03578954919777935
SE__mean,0.034963626373928365
SE__std,0.02663970315065502
FS1__std,0.0208182178030738
PS4__min,0.019992229269909463
PS2__std,0.01902773954217959
PS5__rms,0.018241144346385185
TS3__max,0.01710859166653467
TS1__mean,0.01705623128758794
PS6__max,0.0170194149027142
PS1__max,0.016627317336969715
PS4__rms,0.016359274335701956
PS4__mean,0.015837510930563625
PS2__mean,0.015510707574728319
TS1__max,0.015357063566845007
SE__range,0.01522772385519689
PS6__mean,0.015062275135853767
PS6__rms,0.015008782787849189
SE__max,0.015005646589416536
TS3__min,0.014977228597725453
TS2__rms,0.014632896081014852
PS5__max,0.014437836510039713
PS1__std,0.014204193672182492
TS2__min,0.013911718784508838
TS3__rms,0.013497431242376425
TS4__rms,0.013337924375293912
TS1__min,0.013331183718245935
TS4__min,0.013148907429824011
PS5__mean,0.013081883566610168
PS1__rms,0.012711964125255965
TS1__rms,0.01269000206845706
TS4__max,0.012660312619739478
TS4__mean,0.012434411672075867
EPS1__mean,0.012353356661312383
TS3__mean,0.012157085441764918
FS2__mean,0.012133287990481053
EPS1__rms,0.012023679615864742
PS1__mean,0.011967037278928554
PS2__rms,0.011760619558585319
PS6__min,0.011710959479720255
PS5__min,0.011651643448836043
PS3__mean,0.011353342074011716
PS3__rms,0.010974396958674231
TS2__max,0.010732963395085898
TS2__mean,0.010506360943873931
FS2__max,0.010502024771608318
EPS1__std,0.010386884601209984
EPS1__min,0.009838589876550124
FS1__max,0.009473125969376868
FS1__range,0.009403065930402011
FS2__rms,0.009301685612800106
CE__rms,0.008831271733160196
FS2__min,0.008344666717927843
EPS1__max,0.008243896451034348
PS4__max,0.007537807993851275
PS3__std,0.0068653731580496065
CE__max,0.006484290666306641
TS1__std,0.006102654939384854
TS1__range,0.005528743016254161
PS1__min,0.00540754155535896
CE__mean,0.005358791261034204
CE__min,0.004984536316976546
VS1__min,0.004831089534890644
CP__min,0.0044167589566623195
EPS1__range,0.004257921890435617
VS1__mean,0.004252960127033988
PS1__range,0.004134078395695549
PS4__range,0.003933571739959009
VS1__rms,0.0037142492568853313
CP__rms,0.0035180240218156554
PS3__range,0.0033826126728799684
CP__mean,0.003266576934670136
TS2__std,0.003146271142158162
CP__max,0.0030749963250225553
VS1__std,0.002910504193305152
TS2__range,0.002668838024346237
PS6__std,0.002568595000979104
PS2__max,0.002404645812666837
PS3__max,0.0024024886616681963
PS2__range,0.002373326681598223
TS3__std,0.0023466490895986875
PS4__std,0.0021859557771530982
TS3__range,0.0021591277851722174
VS1__range,0.002050688374033861
FS2__std,0.0018485775544072316
TS4__range,0.0018326834557695938
VS1__max,0.0018064933900193312
TS4__std,0.0015981049285900548
CE__std,0.0014809995412369966
PS5__range,0.0014668428678854073
PS5__std,0.0014447680850745845
PS6__range,0.0014319837546786218
CP__std,0.0011389968498671378
FS2__range,0.001040666375339307
CP__range,0.001000447508836111
CE__range,0.0009738235249312567
FS1__min,0.0
SE__min,0.0
PS3__min,0.0
PS2__min,0.0
