line_class_code,equipment_suffix,equipment_name,equipment_type,area_type,data_class
PET_WATER_STILL_500,BLW,Blow Moulder,BLOW_MOULDER,PROCESS,SYNTHETIC_MASTER_DATA
PET_WATER_STILL_500,AIR,Air Conveyor,CONVEYOR,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
PET_WATER_STILL_500,FIL,Filler / Capper,FILLER_CAPPER,PROCESS,SYNTHETIC_MASTER_DATA
PET_WATER_STILL_500,INS,Bottle Inspection,INSPECTION_SYSTEM,QUALITY,SYNTHETIC_MASTER_DATA
PET_WATER_STILL_500,LAB,Labeller,LABELLER,PACKAGING,SYNTHETIC_MASTER_DATA
PET_WATER_STILL_500,PKR,Packer / Shrink Wrapper,PACKER,PACKAGING,SYNTHETIC_MASTER_DATA
PET_WATER_STILL_500,CNV,Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
PET_WATER_STILL_500,PAL,Palletiser,PALLETISER,END_OF_LINE,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,BLW,Blow Moulder,BLOW_MOULDER,PROCESS,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,AIR,Air Conveyor,CONVEYOR,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,FIL,Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,INS,Bottle Inspection,INSPECTION_SYSTEM,QUALITY,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,LAB,Labeller,LABELLER,PACKAGING,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,PKR,Packer / Shrink Wrapper,PACKER,PACKAGING,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,CNV,Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
PET_CARBONATED_500,PAL,Palletiser,PALLETISER,END_OF_LINE,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,BLW,Blow Moulder,BLOW_MOULDER,PROCESS,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,AIR,Air Conveyor,CONVEYOR,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,FIL,Juice Beverage Filler / Capper,FILLER_CAPPER,PROCESS,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,INS,Bottle Inspection,INSPECTION_SYSTEM,QUALITY,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,LAB,Labeller,LABELLER,PACKAGING,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,PKR,Packer / Shrink Wrapper,PACKER,PACKAGING,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,CNV,Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
PET_JUICE_1000,PAL,Palletiser,PALLETISER,END_OF_LINE,SYNTHETIC_MASTER_DATA
CAN_ENERGY_250,DEP,Can Depalletiser,DEPALLETISER,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
CAN_ENERGY_250,RIN,Can Rinser,RINSER,PROCESS,SYNTHETIC_MASTER_DATA
CAN_ENERGY_250,FIL,Can Filler / Seamer,FILLER_SEAMER,PROCESS,SYNTHETIC_MASTER_DATA
CAN_ENERGY_250,INS,Can Inspection,INSPECTION_SYSTEM,QUALITY,SYNTHETIC_MASTER_DATA
CAN_ENERGY_250,PKR,Can Packer,PACKER,PACKAGING,SYNTHETIC_MASTER_DATA
CAN_ENERGY_250,CNV,Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,SYNTHETIC_MASTER_DATA
CAN_ENERGY_250,PAL,Palletiser,PALLETISER,END_OF_LINE,SYNTHETIC_MASTER_DATA
