line_code,site_code,line_name,site_origin,integration_role,nominal_capacity,capacity_unit,notes
SITE-DE-01-L01,SITE-DE-01,Production Line 1,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-DE-01-L02,SITE-DE-01,Production Line 2,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-DE-01-L03,SITE-DE-01,Production Line 3,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-DE-01-L04,SITE-DE-01,Production Line 4,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-DE-01-L05,SITE-DE-01,Production Line 5,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-NL-01-L01,SITE-NL-01,Production Line 1,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-NL-01-L02,SITE-NL-01,Production Line 2,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-NL-01-L03,SITE-NL-01,Production Line 3,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-NL-01-L04,SITE-NL-01,Production Line 4,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-NL-01-L05,SITE-NL-01,Production Line 5,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-PL-01-L01,SITE-PL-01,Production Line 1,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-PL-01-L02,SITE-PL-01,Production Line 2,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-PL-01-L03,SITE-PL-01,Production Line 3,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-PL-01-L04,SITE-PL-01,Production Line 4,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-PL-01-L05,SITE-PL-01,Production Line 5,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-CZ-01-L01,SITE-CZ-01,Production Line 1,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-CZ-01-L02,SITE-CZ-01,Production Line 2,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-CZ-01-L03,SITE-CZ-01,Production Line 3,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-CZ-01-L04,SITE-CZ-01,Production Line 4,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-CZ-01-L05,SITE-CZ-01,Production Line 5,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-FR-01-L01,SITE-FR-01,Production Line 1,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-FR-01-L02,SITE-FR-01,Production Line 2,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-FR-01-L03,SITE-FR-01,Production Line 3,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-FR-01-L04,SITE-FR-01,Production Line 4,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-FR-01-L05,SITE-FR-01,Production Line 5,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-ES-01-L01,SITE-ES-01,Production Line 1,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-ES-01-L02,SITE-ES-01,Production Line 2,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-ES-01-L03,SITE-ES-01,Production Line 3,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-ES-01-L04,SITE-ES-01,Production Line 4,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
SITE-ES-01-L05,SITE-ES-01,Production Line 5,FICTIONAL_ENTERPRISE,SYNTHETIC_INTEGRATION,,,No capacity or process values assigned at Stage 2E.
