line_code,site_code,line_name,line_class_code,nominal_capacity,capacity_unit,entity_origin,data_class,notes
SITE-DE-01-L01,SITE-DE-01,Still Water Line,PET_WATER_STILL_500,43200,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-DE-01-L02,SITE-DE-01,Carbonated Beverage Line 1,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-DE-01-L03,SITE-DE-01,Carbonated Beverage Line 2,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-DE-01-L04,SITE-DE-01,Carbonated Soft Drink Line,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-DE-01-L05,SITE-DE-01,Energy Drink Can Line,CAN_ENERGY_250,60000,cans_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-NL-01-L01,SITE-NL-01,Still Water Line,PET_WATER_STILL_500,43200,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-NL-01-L02,SITE-NL-01,Carbonated Beverage Line 1,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-NL-01-L03,SITE-NL-01,Carbonated Beverage Line 2,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-NL-01-L04,SITE-NL-01,Carbonated Soft Drink Line,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-NL-01-L05,SITE-NL-01,Juice Beverage Line,PET_JUICE_1000,27000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-PL-01-L01,SITE-PL-01,Still Water Line,PET_WATER_STILL_500,43200,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-PL-01-L02,SITE-PL-01,Carbonated Beverage Line 1,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-PL-01-L03,SITE-PL-01,Carbonated Beverage Line 2,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-PL-01-L04,SITE-PL-01,Carbonated Soft Drink Line,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-PL-01-L05,SITE-PL-01,Energy Drink Can Line,CAN_ENERGY_250,60000,cans_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-CZ-01-L01,SITE-CZ-01,Still Water Line,PET_WATER_STILL_500,43200,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-CZ-01-L02,SITE-CZ-01,Carbonated Beverage Line 1,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-CZ-01-L03,SITE-CZ-01,Carbonated Beverage Line 2,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-CZ-01-L04,SITE-CZ-01,Carbonated Soft Drink Line,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-CZ-01-L05,SITE-CZ-01,Juice Beverage Line,PET_JUICE_1000,27000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-FR-01-L01,SITE-FR-01,Still Water Line,PET_WATER_STILL_500,43200,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
SITE-FR-01-L02,SITE-FR-01,Carbonated Beverage Line 1,PET_CARBONATED_500,40000,bottles_per_hour,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,Fixed design capacity from Stage 3B line class; actual production will vary later.
