line_code,site_code,product_code,assignment_role,data_class,notes
SITE-DE-01-L01,SITE-DE-01,BEV-WAT-STILL,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L02,SITE-DE-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L02,SITE-DE-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L02,SITE-DE-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L03,SITE-DE-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L03,SITE-DE-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L03,SITE-DE-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L04,SITE-DE-01,BEV-CSD-COLA,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L04,SITE-DE-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-DE-01-L05,SITE-DE-01,BEV-ENE-CLASSIC,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L01,SITE-NL-01,BEV-WAT-STILL,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L02,SITE-NL-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L02,SITE-NL-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L02,SITE-NL-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L03,SITE-NL-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L03,SITE-NL-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L03,SITE-NL-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L04,SITE-NL-01,BEV-CSD-COLA,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L04,SITE-NL-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-NL-01-L05,SITE-NL-01,BEV-JUI-ORANGE,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L01,SITE-PL-01,BEV-WAT-STILL,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L02,SITE-PL-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L02,SITE-PL-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L02,SITE-PL-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L03,SITE-PL-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L03,SITE-PL-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L03,SITE-PL-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L04,SITE-PL-01,BEV-CSD-COLA,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L04,SITE-PL-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-PL-01-L05,SITE-PL-01,BEV-ENE-CLASSIC,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L01,SITE-CZ-01,BEV-WAT-STILL,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L02,SITE-CZ-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L02,SITE-CZ-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L02,SITE-CZ-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
