table_name,grain,column_name,data_type,key_type,nullable,definition
dim_source_dataset,one record per external/public dataset,source_dataset_id,INTEGER,PK,NO,Surrogate key
dim_source_dataset,one record per external/public dataset,source_code,VARCHAR,,NO,Short source identifier
dim_source_dataset,one record per external/public dataset,source_name,VARCHAR,,NO,Official dataset name
dim_source_dataset,one record per external/public dataset,publisher,VARCHAR,,YES,Publishing organization
dim_source_dataset,one record per external/public dataset,source_domain,VARCHAR,,NO,Primary source domain
dim_source_dataset,one record per external/public dataset,integration_role,VARCHAR,,NO,Operational/benchmark/context/reference/synthetic integration
dim_source_dataset,one record per external/public dataset,is_real_data,BOOLEAN,,NO,Real versus synthetic indicator
dim_source_dataset,one record per external/public dataset,source_url,VARCHAR,,YES,Authoritative source URL
dim_source_dataset,one record per external/public dataset,license,VARCHAR,,YES,Source license
dim_source_dataset,one record per external/public dataset,reference_period,VARCHAR,,YES,Coverage period
dim_source_dataset,one record per external/public dataset,notes,TEXT,,YES,Source limitations
dim_site,one manufacturing or source facility/site,site_id,INTEGER,PK,NO,Surrogate key
dim_site,one manufacturing or source facility/site,site_code,VARCHAR,,NO,Site code
dim_site,one manufacturing or source facility/site,site_name,VARCHAR,,NO,Site name
dim_site,one manufacturing or source facility/site,country_code,VARCHAR,,YES,Country code
dim_site,one manufacturing or source facility/site,region,VARCHAR,,YES,Region
dim_site,one manufacturing or source facility/site,site_type,VARCHAR,,YES,Site type
dim_site,one manufacturing or source facility/site,source_dataset_id,INTEGER,FK,YES,Source dataset
dim_site,one manufacturing or source facility/site,site_origin,VARCHAR,,NO,REAL_SOURCE or FICTIONAL_ENTERPRISE
dim_site,one manufacturing or source facility/site,active_flag,BOOLEAN,,NO,Active record flag
dim_area,one production/support area within a site,area_id,INTEGER,PK,NO,Surrogate key
dim_area,one production/support area within a site,site_id,INTEGER,FK,NO,Parent site
dim_area,one production/support area within a site,area_code,VARCHAR,,NO,Area code
dim_area,one production/support area within a site,area_name,VARCHAR,,NO,Area name
dim_area,one production/support area within a site,area_type,VARCHAR,,YES,Area type
dim_line,one production line,line_id,INTEGER,PK,NO,Surrogate key
dim_line,one production line,site_id,INTEGER,FK,NO,Parent site
dim_line,one production line,area_id,INTEGER,FK,NO,Parent area
dim_line,one production line,line_code,VARCHAR,,NO,Line code
dim_line,one production line,line_name,VARCHAR,,NO,Line name
dim_line,one production line,line_type,VARCHAR,,YES,Line type
dim_line,one production line,nominal_capacity,NUMERIC,,YES,Nominal capacity
dim_line,one production line,capacity_unit,VARCHAR,,YES,Capacity unit
dim_line,one production line,commissioning_year,INTEGER,,YES,Commissioning year
dim_line,one production line,source_dataset_id,INTEGER,FK,YES,Source dataset
dim_line,one production line,active_flag,BOOLEAN,,NO,Active record flag
dim_equipment,one physical asset,equipment_id,INTEGER,PK,NO,Surrogate key
dim_equipment,one physical asset,line_id,INTEGER,FK,YES,Parent line
dim_equipment,one physical asset,area_id,INTEGER,FK,YES,Parent area
dim_equipment,one physical asset,equipment_code,VARCHAR,,NO,Equipment code
dim_equipment,one physical asset,equipment_name,VARCHAR,,NO,Equipment name
dim_equipment,one physical asset,equipment_type,VARCHAR,,NO,Equipment type
dim_equipment,one physical asset,criticality_class,VARCHAR,,YES,Criticality class
dim_equipment,one physical asset,commissioning_date,DATE,,YES,Commissioning date
dim_equipment,one physical asset,rated_power_kw,NUMERIC,,YES,Rated power
