session_id,file_name,expected_rows,approx_size_bytes,md5
1,Data_from_2021-11-26.csv,12388,1400000,a224915e93e797404117230811f2c077
2,Data_from_2021-12-07.csv,13410,1600000,43521c0ec87d9a5777409bf5744d7fdd
3,Data_from_2021-12-17.csv,15396,1700000,4d445c5de16fbfbb470dc5c78632be1f
4,Data_from_2022-01-20.csv,18135,2000000,ee473e2c5d3f670bd91c927b165e438d
5,Data_from_2022-01-21.csv,20538,2200000,df9f8265c9c840aed3c7621d1dde749f
6,Data_from_2022-02-14.csv,7526,817200,b0345fa7972e5f3a9834f8a11d9ccd9a
7,Data_from_2022-02-16.csv,11582,1200000,f1e71f5a3aa19fb7d8d7208e52f64fa2
8,Data_from_2022-02-18.csv,7818,842000,6915a69bd7e3863ee9faa344084772f7
9,Data_from_2022-02-22.csv,25422,2900000,be0d06c5f04fad5d88dc442b5e5da10e
10,Data_from_2022-03-02.csv,15398,1700000,25bb5a607ae750a36bbe1001e8fcd75a
11,Data_from_2022-03-15.csv,17828,2000000,82b7b8e90be2dee2587a10ff27f33f45
12,Data_from_2022-04-05.csv,8287,892600,d1ae35be463b341665383627c37bccac
13,Data_from_2022-04.csv,16318,1800000,7989dbd5bc62d3bd9da0e78d0051907d
