sensor_id,physical_quantity,unit,sampling_rate_hz,expected_samples_per_cycle
PS1,pressure,bar,100,6000
PS2,pressure,bar,100,6000
PS3,pressure,bar,100,6000
PS4,pressure,bar,100,6000
PS5,pressure,bar,100,6000
PS6,pressure,bar,100,6000
EPS1,motor_power,W,100,6000
FS1,volume_flow,L/min,10,600
FS2,volume_flow,L/min,10,600
TS1,temperature,degC,1,60
TS2,temperature,degC,1,60
TS3,temperature,degC,1,60
TS4,temperature,degC,1,60
VS1,vibration,mm/s,1,60
CE,cooling_efficiency,percent,1,60
CP,cooling_power,kW,1,60
SE,efficiency_factor,percent,1,60
