session_id,total_time,changeover_time,production_time,old_product_id,new_product_id
1,06:07:29,04:43:00,01:24:29,1,9
2,06:34:45,01:03:37,05:31:08,2,10
3,08:29:54,02:04:58,06:24:56,3,11
4,09:49:55,04:49:58,04:59:57,4,5
5,10:29:55,01:44:58,08:44:57,5,4
6,03:54:27,01:59:28,01:54:34,3,6
7,06:09:57,03:10:00,02:59:57,6,12
8,03:59:43,01:14:58,02:45:38,7,5
9,10:39:56,04:04:57,06:34:59,5,1
10,07:53:53,01:33:55,06:19:58,4,4
11,08:30:04,03:54:57,04:35:07,4,13
12,05:14:57,01:49:59,03:24:58,5,8
13,08:02:53,05:36:35,02:26:18,8,14
